block,flat_type,level_str,level_number,unit_id,stack,area_sqm,price,tag,available
95A,4-Room,#10,10,7143,526,93,587900,MGPS 2+4,False
95A,4-Room,#10,10,7161,528,93,587900,,True
95A,4-Room,#09,9,7114,522,93,585500,,False
95A,4-Room,#09,9,7128,524,93,585500,MGPS 3+4,False
95A,4-Room,#09,9,7142,526,93,585500,,True
95A,4-Room,#09,9,7160,528,93,585500,,True
95A,4-Room,#08,8,7113,522,93,583100,,True
95A,4-Room,#08,8,7127,524,93,583100,,True
95A,4-Room,#08,8,7141,526,93,583100,MGPS 2+4,False
95A,4-Room,#08,8,7159,528,93,583100,,True
95A,4-Room,#07,7,7112,522,93,577000,,True
95A,4-Room,#07,7,7126,524,93,577000,,True
95A,4-Room,#07,7,7140,526,93,577000,,True
95A,4-Room,#07,7,7158,528,93,577000,,True
95A,4-Room,#06,6,7111,522,93,570900,,True
95A,4-Room,#06,6,7125,524,93,570900,,True
95A,4-Room,#06,6,7139,526,93,570900,,True
95A,4-Room,#06,6,7157,528,93,570900,,True
95A,4-Room,#05,5,7110,522,93,564800,,True
95A,4-Room,#05,5,7124,524,93,564800,,True
95A,4-Room,#05,5,7138,526,93,564800,,True
95A,4-Room,#05,5,7156,528,93,564800,MGPS 2+4,False
95A,4-Room,#04,4,7109,522,93,555600,,True
95A,4-Room,#04,4,7123,524,93,549500,,True
95A,4-Room,#04,4,7137,526,93,549500,,True
95A,4-Room,#04,4,7155,528,93,555600,,True
95A,4-Room,#03,3,7108,522,93,546400,MGPS 3+4,True
95A,4-Room,#03,3,7122,524,93,534200,,True
95A,4-Room,#03,3,7136,526,93,534200,,True
95A,4-Room,#03,3,7154,528,93,546400,,True
95A,4-Room,#02,2,7107,522,93,537200,,True
95A,4-Room,#02,2,7121,524,93,525000,,True
95A,4-Room,#02,2,7135,526,93,525000,,True
95A,4-Room,#02,2,7153,528,93,525000,MGPS 3+4,True
95B,2-Room Flexi,#19,19,6860,530,38,209900,,True
95B,2-Room Flexi,#19,19,6878,532,48,268500,,True
95B,2-Room Flexi,#19,19,6896,542,48,268500,,True
95B,2-Room Flexi,#19,19,6914,544,48,268500,,True
95B,2-Room Flexi,#19,19,6932,546,38,209900,,True
95B,2-Room Flexi,#19,19,6950,548,38,209900,,False
95B,2-Room Flexi,#18,18,6859,530,38,209900,,True
95B,2-Room Flexi,#18,18,6877,532,48,268500,,True
95B,2-Room Flexi,#18,18,6895,542,48,268500,,True
95B,2-Room Flexi,#18,18,6913,544,48,268500,,False
95B,2-Room Flexi,#18,18,6931,546,38,209900,,True
95B,2-Room Flexi,#18,18,6949,548,38,209900,MGPS 2+4,False
95B,2-Room Flexi,#17,17,6858,530,38,209000,,True
95B,2-Room Flexi,#17,17,6876,532,48,267300,MGPS 2+4,False
95B,2-Room Flexi,#17,17,6894,542,48,267300,,True
95B,2-Room Flexi,#17,17,6912,544,48,267300,,True
95B,2-Room Flexi,#17,17,6930,546,38,209000,,True
95B,2-Room Flexi,#17,17,6948,548,38,209000,,True
95B,2-Room Flexi,#16,16,6857,530,38,208100,,True
95B,2-Room Flexi,#16,16,6875,532,48,266100,,True
95B,2-Room Flexi,#16,16,6893,542,48,266100,,True
95B,2-Room Flexi,#16,16,6911,544,48,266100,MGPS 2+4,False
95B,2-Room Flexi,#16,16,6929,546,38,208100,,True
95B,2-Room Flexi,#16,16,6947,548,38,208100,,True
95B,2-Room Flexi,#15,15,6856,530,38,207200,,True
95B,2-Room Flexi,#15,15,6874,532,48,264900,,True
95B,2-Room Flexi,#15,15,6892,542,48,264900,,True
95B,2-Room Flexi,#15,15,6910,544,48,264900,,True
95B,2-Room Flexi,#15,15,6928,546,38,207200,,True
95B,2-Room Flexi,#15,15,6946,548,38,207200,,True
95B,2-Room Flexi,#14,14,6855,530,38,206300,,True
95B,2-Room Flexi,#14,14,6873,532,48,263700,,True
95B,2-Room Flexi,#14,14,6891,542,48,263700,MGPS 2+4,False
95B,2-Room Flexi,#14,14,6909,544,48,263700,,True
95B,2-Room Flexi,#14,14,6927,546,38,206300,,True
95B,2-Room Flexi,#14,14,6945,548,38,206300,,True
95B,2-Room Flexi,#13,13,6854,530,38,205400,,True
95B,2-Room Flexi,#13,13,6872,532,48,262500,,True
95B,2-Room Flexi,#13,13,6890,542,48,262500,,True
95B,2-Room Flexi,#13,13,6908,544,48,262500,MGPS 2+4,False
95B,2-Room Flexi,#13,13,6926,546,38,205400,,True
95B,2-Room Flexi,#13,13,6944,548,38,205400,,True
95B,2-Room Flexi,#12,12,6853,530,38,204500,MGPS 2+4,False
95B,2-Room Flexi,#12,12,6871,532,48,261300,,True
95B,2-Room Flexi,#12,12,6889,542,48,261300,,False
95B,2-Room Flexi,#12,12,6907,544,48,261300,,True
