block_number,flat_type,level_number,unit_id,unit_number,area_sqm,price
95B,4-Room,#05,7209,554,93,564800
95B,4-Room,#05,7226,556,93,558700
95B,4-Room,#04,7173,550,93,555600
95B,4-Room,#04,7191,552,93,549500
95B,4-Room,#04,7208,554,93,549500
95B,4-Room,#04,7225,556,93,549500
95B,4-Room,#03,7172,550,93,546400
95B,4-Room,#03,7190,552,93,534200
95B,4-Room,#03,7207,554,93,534200
95B,4-Room,#03,7224,556,93,540300
95B,4-Room,#02,7171,550,93,525000
95B,4-Room,#02,7189,552,93,525000
95C,4-Room,#19,7258,558,93,625400
95C,4-Room,#19,7276,560,93,625400
95C,4-Room,#19,7294,562,93,625400
95C,4-Room,#19,7312,564,93,613200
95C,4-Room,#19,7330,566,93,613200
95C,4-Room,#19,7348,568,93,613200
95C,4-Room,#19,7366,570,93,613200
95C,4-Room,#19,7384,572,93,613200
95C,4-Room,#19,7402,574,93,613200
95C,4-Room,#18,7257,558,93,625400
95C,4-Room,#18,7275,560,93,625400
