block,floor,stack,size,price
97A,#12,586,93 sqm,"$592,700"
97A,#12,588,93 sqm,"$592,700"
97A,#12,590,93 sqm,"$592,700"
97A,#12,592,93 sqm,"$598,800"
97A,#12,594,93 sqm,"$598,800"
97A,#12,596,93 sqm,"$592,700"
97A,#12,598,93 sqm,"$592,700"
97A,#12,600,93 sqm,"$592,700"
97A,#11,580,93 sqm,"$590,300"
97A,#11,582,93 sqm,"$590,300"
97A,#11,584,93 sqm,"$590,300"
97A,#11,586,93 sqm,"$590,300"
97A,#11,588,93 sqm,"$590,300"
97A,#11,590,93 sqm,"$590,300"
97A,#11,592,93 sqm,"$590,300"
97A,#11,594,93 sqm,"$590,300"
97A,#11,596,93 sqm,"$590,300"
97A,#11,598,93 sqm,"$590,300"
97A,#11,600,93 sqm,"$590,300"
97A,#10,580,93 sqm,"$587,900"
97A,#10,582,93 sqm,"$587,900"
97A,#10,584,93 sqm,"$587,900"
97A,#10,586,93 sqm,"$587,900"
97A,#10,588,93 sqm,"$587,900"
97A,#10,590,93 sqm,"$587,900"
97A,#10,592,93 sqm,"$587,900"
97A,#10,594,93 sqm,"$587,900"
97A,#10,596,93 sqm,"$587,900"
97A,#10,598,93 sqm,"$587,900"
97A,#10,600,93 sqm,"$587,900"
97A,#09,580,93 sqm,"$585,500"
97A,#09,582,93 sqm,"$585,500"
97A,#09,584,93 sqm,"$585,500"
97A,#09,586,93 sqm,"$585,500"
97A,#09,588,93 sqm,"$585,500"
97A,#09,592,93 sqm,"$585,500"
97A,#09,594,93 sqm,"$585,500"
97A,#09,596,93 sqm,"$585,500"
97A,#09,598,93 sqm,"$585,500"
97A,#09,600,93 sqm,"$585,500"
97A,#08,580,93 sqm,"$583,100"
97A,#08,582,93 sqm,"$583,100"
97A,#08,584,93 sqm,"$583,100"
97A,#08,586,93 sqm,"$583,100"
97A,#08,588,93 sqm,"$583,100"
97A,#08,590,93 sqm,"$583,100"
97A,#08,592,93 sqm,"$570,900"
97A,#08,594,93 sqm,"$570,900"
97A,#08,596,93 sqm,"$583,100"
97A,#08,598,93 sqm,"$583,100"
97A,#08,600,93 sqm,"$583,100"
97A,#07,580,93 sqm,"$577,000"
97A,#07,582,93 sqm,"$577,000"
97A,#07,584,93 sqm,"$577,000"
97A,#07,586,93 sqm,"$577,000"
97A,#07,588,93 sqm,"$577,000"
97A,#07,590,93 sqm,"$577,000"
97A,#07,592,93 sqm,"$552,600"
97A,#07,594,93 sqm,"$552,600"
97A,#07,596,93 sqm,"$577,000"
97A,#07,598,93 sqm,"$577,000"
97A,#07,600,93 sqm,"$577,000"
97A,#06,580,93 sqm,"$570,900"
97A,#06,582,93 sqm,"$570,900"
